"","codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","person_1","person_1_l1","person_1_l2","person_1_l3","person_1_nat1","person_1_nat2","person_1_nat3","person_1_fluency1","person_1_fluency2","person_1_fluency3","person_2","person_2_l1","person_2_l2","person_2_l3","person_2_nat1","person_2_nat2","person_2_nat3","person_2_fluency1","person_2_fluency2","person_2_fluency3","par1_nat_chi_l1","par2_nat_chi_l1","parent_nat_chi_l1","par1_nat_chi_l2","par2_nat_chi_l2","parent_nat_chi_l2","par1_nat_chi_l3","par2_nat_chi_l3","parent_nat_chi_l3","par1_flu_chi_l1","par2_flu_chi_l1","parent_flu_chi_l1","par1_flu_chi_l2","par2_flu_chi_l2","parent_flu_chi_l2","par1_flu_chi_l3","par2_flu_chi_l3","parent_flu_chi_l3"
"11",7760,0,36,"ENGLISH","SPANISH","NO L3",0.665,0.335,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"12",7768,27,36,"SPANISH","ENGLISH","NO L3",0.545,0.455,0,"MOTHER","SPANISH","ENGLISH","ITALIAN",1,0,0,4,NA,NA,"FATHER","SPANISH","ENGLISH","ITALIAN",1,0,0,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"13",7797,0,36,"ENGLISH","GERMAN","NO L3",0.81,0.19,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"14",7818,2,36,"ENGLISH","SPANISH","HEBREW",0.842,0.157,0.002,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,999,1,0,999,0,0,999,0,4,NA,4,NA,NA,NA,NA,NA,NA
"15",7980,NA,36,"ENGLISH","PORTUGUESE","NO L3",0.665,0.335,0,"MOTHER","PORTUGUESE","ENGLISH","SPANISH",1,0,0,4,NA,NA,"FATHER","ENGLISH","PORTUGUESE",NA,1,0,NA,4,NA,NA,0,1,1,1,0,1,0,0,999,NA,4,4,4,NA,4,NA,NA,999
"16",8000,9,36,"ENGLISH","SPANISH","NO L3",0.63,0.37,0,"MOTHER","ENGLISH","SPANISH","ITALIAN",1,0,0,4,NA,NA,"FATHER","SPANISH","ENGLISH","ARABIC",1,0,0,4,NA,NA,1,0,1,0,1,1,0,0,999,4,NA,4,NA,4,4,NA,NA,999
"17",8009,NA,36,"ENGLISH","SPANISH","ITALIAN",0.75,0.145,0.105,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","ITALIAN",NA,0,1,NA,NA,4,NA,1,0,1,0,0,0,0,1,1,4,NA,4,NA,NA,NA,NA,4,4
"18",8036,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH","GREEK",1,0,0,4,NA,NA,"FATHER","ENGLISH","FRENCH","GREEK",1,0,0,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"19",8050,15,36,"SPANISH","FRENCH","ENGLISH",0.627,0.239,0.134,"MOTHER","SPANISH","ENGLISH","FRENCH",1,1,0,4,4,NA,"FATHER","FRENCH","SPANISH","ENGLISH",1,0,1,4,NA,4,1,0,1,0,1,1,1,1,1,4,NA,4,NA,4,4,4,4,8
"20",8092,11,36,"ENGLISH","SPANISH","NO L3",0.76,0.25,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
