codenumber,newID,coder,exptr,pose,age,gender,Movement_Onset,Movement,Piece,Orientation,training,demoStart,demoEnd,testStart,FirstTouch,testEnd,robotExptr,robotChild,manipCheck,Naming,Goal,LTG,CRP,CRT
133 ,133 36,TS,, C3,36,f,159241,IM,4,1,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,161927,M,4,1,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,164211,M,5,2,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,168816,M,5,6,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,170084,M,2,6,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,171266,M,1,6,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C3,36,f,173570,M,4,6,,107651,138359,140449,0,174290, W, R, np,, 0,0,,
133 ,133 36,TS,, C2,36,f,89017,M,5,2,,59192,81556,84918,0,99627, W, R, np,, 0,0,,
133 ,133 36,TS,, C2,36,f,91260,IM,2,1,,59192,81556,84918,0,99627, W, R, np,, 0,0,,
133 ,133 36,TS,, C2,36,f,93043,M,2,1,,59192,81556,84918,0,99627, W, R, np,, 0,0,,
133 ,133 36,TS,, C2,36,f,95667,M,5,6,,59192,81556,84918,0,99627, W, R, np,, 0,0,,
133 ,133 36,TS,, C2,36,f,98356,M,2,6,,59192,81556,84918,0,99627, W, R, np,, 0,0,,
134 ,134 36,OB,, C5,36,M,354696,M,5,2,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,355904,M,1,5,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,357605,M,2,5,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,360300,IM,4,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,362377,M,4,2,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,363584,M,4,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,366386,M,3,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,384110,IM,4,2,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,390336,M,4,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,393711,M,3,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,394007,M,1,6,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,396422,M,2,6,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,402274,M,2,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,OB,, C5,36,M,405945,M,1,1,,298780,347575,351811,351811,411161, W, R, c,, 0,0,,
134 ,134 36,MO,, C4,36,M,233742,M,5,1,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
