codenumber,newID,coder,exptr,pose,age,gender,Movement_Onset,Movement,Piece,Orientation,training,demoStart,demoEnd,testStart,FirstTouch,testEnd,robotExptr,robotChild,manipCheck,Naming,Goal,LTG,CRP,CRT
137 ,137 40,TS,, C3,40,F,189858,M,4,4,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,192061,M,3,3,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,197209,M,3,6,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,198664,M,4,6,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,116694,M,5,2,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,117898,M,2,5,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,120903,M,1,5,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,123967,M,5,6,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,125763,M,1,6,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
137 ,137 40,TS,, C2,40,F,128269,M,2,6,,86516,107644,112639,112639,137225, O, B, c,, 0,0,,
138 ,138 36,OB,, CB,36,F,47870,IM,3,3,,0,0,27872,27872,109517, 999, B, 999,, 999,0,,
138 ,138 36,OB,, CB,36,F,66836,IM,2,0,,0,0,27872,27872,109517, 999, B, 999,, 999,0,,
138 ,138 36,OB,, CB,36,F,101334,IM,3,1,,0,0,27872,27872,109517, 999, B, 999,, 999,0,,
138 ,138 36,OB,, C4,36,F,344823,M,5,1,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,347613,M,1,5,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,349659,M,2,5,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,351271,M,4,1,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,367597,M,5,1,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,374417,M,1,5,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,375596,M,2,5,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,OB,, C4,36,F,378759,M,3,1,,298422,335961,340948,340948,383192, O, B, c,, 1,351271,,
138 ,138 36,MO,, tree pose,36,F,231305,M,5,2,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,235149,M,5,6,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,239549,IM,3,2,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,242864,M,3,2,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,246520,M,1,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,251448,M,2,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,251457,M,3,6,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,259021,IM,3,2,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,263886,M,2,6,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,265093,M,1,6,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,271601,M,3,2,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,276394,IM,2,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,278715,M,2,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,282649,IM,1,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,MO,, tree pose,36,F,285232,M,1,1,,197823,223675,228541,0,294406, O, B, c, 999, 1,285232, 999, 999
138 ,138 36,OB,, C2,36,F,164156,M,5,2,,136642,155572,161273,161273,191691, O, B, c,, 1,168834,,
138 ,138 36,OB,, C2,36,F,168834,M,1,5,,136642,155572,161273,161273,191691, O, B, c,, 1,168834,,
138 ,138 36,OB,, C2,36,F,178340,M,5,2,,136642,155572,161273,161273,191691, O, B, c,, 1,168834,,
138 ,138 36,OB,, C2,36,F,183696,M,1,5,,136642,155572,161273,161273,191691, O, B, c,, 1,168834,,
139 ,139 36,MO,, CB,36,m,19686,IM,3,2,,0,0,18122,18122,90916, 999, R, 999, 999, 999,0, 999, 999
139 ,139 36,MO,, C5,36,M,404171,M,1,5,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,409037,IM,2,5,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,411795,M,5,2,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,412939,M,2,5,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,416160,IM,3,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,417863,IM,3,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,420279,IM,3,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,425082,M,4,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,426901,IM,3,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,429193,M,4,6,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,438111,IM,3,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
139 ,139 36,MO,, C5,36,M,439007,IM,4,1,,357694,398085,401671,401671,474792, O, R, c, 999, 0,0, 999, 999
