"codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","parent_nat_chi_l1","parent_nat_chi_l2","parent_nat_chi_l3","parent_flu_chi_l1","parent_flu_chi_l2","parent_flu_chi_l3"
8389,NA,36,"SPANISH","ENGLISH","FRENCH",0.821,0.178,0.002,1,1,0,8,4,NA
8390,NA,36,"ENGLISH","SPANISH","NO L3",0.99,0.01,0,1,0,999,8,3,999
8391,15,36,"SPANISH","ENGLISH","NO L3",0.557,0.443,0,0,1,999,7,8,999
8402,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8409,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8419,NA,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,1,0,999,6,1,999
8421,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8422,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8423,0,36,"ENGLISH","SPANISH","NO L3",0.985,0.015,0,1,0,999,8,1,999
8428,NA,36,"ENGLISH","SPANISH","NO L3",0.914,0.086,0,1,1,999,8,6,999
8429,30,36,"ENGLISH","HINDI","SPANISH",0.607,0.37,0.023,1,1,0,8,4,2
8431,0,36,"ENGLISH","SPANISH","NO L3",0.69,0.31,0,1,0,999,8,4,999
8433,0,36,"ENGLISH","SPANISH","NO L3",0.96,0.05,0,1,0,999,8,NA,999
8435,11,36,"ENGLISH","SPANISH","NO L3",0.79,0.21,0,1,0,999,8,4,999
8436,NA,36,"ENGLISH","SINHALA","NO L3",0.968,0.032,0,1,0,999,8,NA,999
8437,1,36,"ENGLISH","SPANISH","NO L3",0.803,0.197,0,1,0,999,8,NA,999
8460,16,36,"ENGLISH","SPANISH","NO L3",0.901,0.099,0,1,0,999,8,5,999
8466,17,36,"ENGLISH","MANDARIN","SPANISH",0.525,0.44,0.035,1,1,0,4,8,NA
8481,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8488,NA,36,"ENGLISH","SPANISH","NO L3",1,0.01,0,1,0,999,8,NA,999
8489,NA,36,"ENGLISH","PORTUGUESE","NO L3",1,0.01,0,1,0,999,8,NA,999
8498,9,36,"ENGLISH","ITALIAN","NO L3",0.995,0.005,0,1,0,999,8,NA,999
8506,NA,36,"ENGLISH","SPANISH","NO L3",0.965,0.035,0,1,0,999,8,1,999
8525,NA,36,"ENGLISH","SPANISH","MANDARIN",0.562,0.433,0.005,1,1,0,8,4,NA
8541,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8543,NA,36,"ENGLISH","SPANISH","NO L3",0.8,0.2,0,1,0,999,8,NA,999
8544,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8551,11,36,"ENGLISH","SPANISH","NO L3",0.682,0.227,0.023,1,1,999,8,6,999
8556,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8566,1,36,"ENGLISH","URDU","NO L3",0.965,0.035,0,1,0,999,8,NA,999
8571,7,36,"ENGLISH","RUSSIAN","RUSSIAN",0.99,0.005,0.005,1,1,1,8,4,4
8572,9,36,"MANDARIN","ENGLISH","SHANGHAINESE",0.785,0.145,0.07,1,1,1,8,8,4
8580,0,36,"SPANISH","MANDARIN","TURKISH",0.386,0.277,0.188,0,0,1,NA,NA,8
8581,0,36,"SPANISH","MANDARIN","TURKISH",0.386,0.277,0.188,0,0,1,NA,NA,4
8590,0,36,"ENGLISH","HEBREW","NO L3",0.99,0.01,0,1,0,999,8,NA,999
8594,4,36,"ENGLISH","SPANISH","NO L3",0.69,0.31,0,1,1,999,8,4,999
8605,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8619,15,36,"ENGLISH","FARSI","NO L3",0.545,0.455,0,1,1,999,8,8,999
8652,NA,36,"SPANISH","ENGLISH","NO L3",0.596,0.404,0,1,1,999,8,8,999
8670,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8672,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8678,1,36,"ENGLISH","GA","SPANISH",0.895,0.04,0.025,1,0,0,8,NA,NA
8685,16,36,"ENGLISH","SPANISH","FRENCH",0.942,0.029,0.019,1,0,0,8,3,NA
8696,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8699,14,36,"SPANISH","FRENCH","ENGLISH",0.51,0.436,0.054,1,1,0,8,4,8
8702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
