"codenumber","profiles"
7429,1
7630,1
7643,1
7644,1
7649,1
7672,1
7690,1
7737,1
7740,1
7760,2
7768,3
7797,2
7818,2
8000,3
8092,2
8093,1
8097,3
8152,1
8155,2
8199,1
8217,1
8219,2
8222,1
8228,2
8229,2
8231,1
8266,1
8277,1
8352,2
8360,2
8368,1
8374,1
8376,2
8378,2
8389,2
8402,1
8409,1
8419,1
8421,1
8422,1
8428,1
8429,3
8431,2
8433,1
8436,1
8437,2
8460,1
8466,3
8481,1
8488,1
8489,1
8498,1
8506,1
8525,3
8541,1
8543,2
8544,1
8551,2
8556,1
8566,1
8571,1
8572,2
8580,3
8581,3
8590,1
8594,2
8605,1
8619,3
8652,3
8670,1
8672,1
8685,1
8699,3
8709,1
8712,3
8713,2
8718,2
8722,1
8732,1
8733,3
8742,1
8754,1
8757,1
8759,1
8760,1
8763,2
8765,2
8766,1
8814,1
8819,1
8890,2
8973,2
8981,1
9029,1
9046,3
9056,3
9080,1
9095,2
9128,3
9162,1
9163,2
