codenumber,code_new,dob,visit,leat_date,age_days,age_mo,visit_num,which,race,mixed, Race-Caucasian,Race-African/ African American,Race-Asian/ Asian American,Race-Native American,Race-Other (please specify),Child's Race - Other (please specify),latinx,gender,p1_edu,p2_edu,p1_edu_yr,p2_edu_yr,zipcode,income
8460,8460,,,,1162,38,3,123,mixed,1,1,1,999,999,999,999,0,Male,5,5,18,18,,95278
8466,8466,,,,1132,37,3,123,mixed,1,1,0,1,1,1,Hispanics,1,Male,5,6,18,20,,62839
8481,8481,,,,1198,39,3,123,w,0,1,999,999,999,999,999,0,Female,5,6,18,20,,104111
8488,8488,,,,1230,40,2,23,w,0,1,0,0,0,0,0,0,Male,5,2,18,12,,121363
8489,8489,,,,1184,38,2,23,w,0,1,0,0,0,0,0,0,Female,4,6,16,20,,116283
8498,8498,,,,1198,39,3,123,w,0,1,0,0,0,1,0,0,Female,6,6,20,20,,101338
8506,8506,,,,1144,37,3,123,w,0,1,0,0,0,0,0,0,Female,6,6,20,20,,113968
8525,8525,,,,1220,40,3,123,w,0,1,0,0,0,0,0,1,Male,5,3,18,14,,87983
8541,8541,,,,1166,38,3,123,w,0,1,0,0,0,0,0,0,Male,5,5,18,18,,44503
8543,8543,,,,1201,39,3,123,w,0,1,0,0,0,0,0,0,Male,5,5,18,18,,65167
8544,8544,,,,1222,40,3,123,w,0,1,0,0,0,0,0,0,Female,6,5,20,18,,44503
8551,8551,,,,1245,40,3,123,w,0,1,999,999,999,999,999,1,Female,5,4,18,16,,100659
8556,8556,,,,1152,37,3,123,mixed,1,1,0,1,0,0,0,0,Female,6,5,20,18,,48274
8566,8566,,,,1172,38,3,123,mixed,1,1,1,999,999,999,999,0,Male,5,4,18,16,,154495
8571,8571,,,,1173,38,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,151395
8572,8572,,,,1169,38,3,123,am,0,999,999,1,999,999,999,0,Male,5,6,18,20,,121648
8580,8580,,,,1207,39,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,54979
8581,8581,,,,1207,39,3,123,w,0,1,999,999,999,999,999,0,Female,5,4,18,16,,54979
8590,8590,,,,1186,38,2,23,w,0,1,0,0,0,0,0,0,Female,6,6,20,20,,100659
8594,8594,,,,1226,40,3,123,w,0,1,999,999,999,1,Latino,1,Male,4,4,16,16,,71468
8605,8605,,,,1147,37,3,123,w,0,1,0,0,0,0,0,0,Male,4,5,16,18,,103520
8619,8619,,,,1202,39,3,123,w,0,1,999,999,999,999,999,0,Female,4,3,16,14,,90398
8652,8652,,,,1206,39,2,23,w,0,1,0,0,0,0,0,1,Male,6,6,20,20,,72144
8670,8670,,,,1162,38,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,90398
