"","codenumber","newID","coder","pose","age","gender","training","robotExptr","robotChild","manipCheck","Naming","CRP","CRT","M_count","TestDuration","DemoDuration","Goal","LatGoal","totalsteps","totalpairs","totaltriplets","totalquadruplets","totalquintuplets","test_lessthan_100per","test_lessthan_50per","LOOK_at_this_code"
"18",131,"13160","MO","C5",60,"F",0,"W","R","np"," 999"," 999"," 999",0,25.092,49.64," 0",999,0,0,0,0,0,1,0,0
"19",132,"13236","TS","C2",36,"M",0,"O","B","np","","","",2,6.299,23.936," 1",3.321,2,1,0,0,0,1,1,0
"20",132,"13236","TS","C5",36,"M",0,"O","B","np","","","",8,47.337,47.723," 0",999,4,2,0,0,0,1,0,0
"21",133,"13336","TS","C2",36,"F",0,"W","R","np","","","",4,14.709,22.364," 0",999,1,0,0,0,0,1,0,0
"22",133,"13336","TS","C3",36,"F",0,"W","R","np","","","",8,33.841,30.708," 0",999,2,0,0,0,0,0,0,0
"23",133,"13336","MO","C5",36,"F",0,"W","R","c"," 999"," 999"," 999",7,31.008,45.764," 0",999,3,0,0,0,0,1,0,0
"24",134,"13436","OB","C3",36,"M",0,"W","R","c","","","",6,33.628,37.072," 1",10.496,3,0,0,0,0,0,0,0
"25",134,"13436","MO","C4",36,"M",0,"W","R","c"," 999"," 999"," 999",9,50.14,40.67," 0",999,3,2,1,0,0,0,0,0
"26",134,"13436","OB","C5",36,"M",0,"W","R","c","","","",12,59.35,48.795," 0",999,5,3,1,0,0,0,0,0
"27",135,"13536","TS","C2",36,"F",0,"B","O","c","","","",8,28.772,16.787," 0",999,0,0,0,0,0,0,0,0
"28",135,"13536","TS","C3",36,"F",0,"B","O","c","","","",7,48.86,26.997," 1",10.974,2,1,0,0,0,0,0,0
"29",135,"13536","MO","C4",36,"F",0,"B","O","c"," 999"," 999"," 999",15,69.177,33.696," 0",999,1,0,0,0,0,0,0,0
"30",135,"13536","TS","C5",36,"F",0,"B","O","c","","","",10,58.175,38.53," 1",58.175,3,0,0,0,0,0,0,0
"31",136,"13660","TS","C2",60,"M",0,"R","B","c","","","",2,13.714,17.602," 1",13.714,2,1,0,0,0,1,0,0
"32",136,"13660","TS","C3",60,"M",0,"O","B","c","","","",6,15.001,23.118," 0",999,2,1,0,0,0,1,0,0
"33",136,"13660","TS","C4",60,"M",0,"O","B","c","","","",8,11.305,33.118," 1",11.305,4,3,2,1,0,1,1,0
"34",136,"13660","TS","C5",60,"M",0,"O","B","c","","","",10,28.082,42.497," 1",28.082,5,4,3,2,1,1,0,0
"35",137,"13736","TS","C2",36,"F",0,"O","B","c","","","",6,24.586,21.128," 0",999,2,0,0,0,0,0,0,0
"36",137,"13736","TS","C3",36,"F",0,"O","B","c","","","",10,35.069,22.004," 0",999,0,0,0,0,0,0,0,0
"37",137,"13736","MO","C4",36,"F",0,"O","B","c"," 999"," 999"," 999",19,71.067,35.122," 0",999,2,1,0,0,0,0,0,0
"38",138,"13836","OB","C2",36,"F",0,"O","B","c","","","",4,30.418,18.93," 1",7.561,2,1,0,0,0,0,0,0
"39",138,"13836","MO","C3",36,"F",0,"O","B","c"," 999"," 999"," 999",11,65.865,25.852," 1",56.691,3,1,0,0,0,0,0,0
"40",138,"13836","OB","C4",36,"F",0,"O","B","c","","","",8,42.244,37.539," 1",10.323,4,3,2,1,0,0,0,0
"41",138,"13836","OB","CB2",36,"F",0,"999","B","999","","","",0,81.645,0," 999",999,0,0,0,0,0,0,0,0
"42",138,"13836","OB","CB3",36,"F",0,"999","B","999","","","",0,81.645,0," 999",999,0,0,0,0,0,0,0,0
"43",138,"13836","OB","CB4",36,"F",0,"999","B","999","","","",0,81.645,0," 999",999,0,0,0,0,0,0,0,0
"44",138,"13836","OB","CB5",36,"F",0,"999","B","999","","","",0,81.645,0," 999",999,0,0,0,0,0,0,0,0
"45",139,"13936","OB","C2",36,"M",0,"O","R","c","","","",7,30.721,14.642," 1",9.53,2,0,0,0,0,0,0,0
"46",139,"13936","OB","C3",36,"M",0,"O","R","c","","","",2,49.723,27.439," 0",999,0,0,0,0,0,0,0,0
"47",139,"13936","OB","C4",36,"M",0,"O","R","nc","","","",6,42.645,33.814," 0",999,0,0,0,0,0,0,0,0
"48",139,"13936","MO","C5",36,"M",0,"O","R","c"," 999"," 999"," 999",13,73.121,40.391," 0",999,5,2,0,0,0,0,0,0
"49",139,"13936","MO","CB2",36,"M",0,"999","R","999"," 999"," 999"," 999",0,72.794,0," 999",999,0,0,0,0,0,0,0,0
"50",139,"13936","MO","CB3",36,"M",0,"999","R","999"," 999"," 999"," 999",0,72.794,0," 999",999,0,0,0,0,0,0,0,0
"51",139,"13936","MO","CB4",36,"M",0,"999","R","999"," 999"," 999"," 999",0,72.794,0," 999",999,0,0,0,0,0,0,0,0
"52",139,"13936","MO","CB5",36,"M",0,"999","R","999"," 999"," 999"," 999",0,72.794,0," 999",999,0,0,0,0,0,0,0,0
"53",6654,"665460","MO","C3",60,"M",0,"W","R","c","","","",6,30.518,26.845," 1",11.194,3,0,0,0,0,0,0,0
"54",6654,"665460","MO","C4",60,"M",0,"W","R","c","","","",8,27.606,32.33," 1",10.732,4,3,2,1,0,1,0,0
"55",6654,"665460","MO","C5",60,"M",0,"W","R","c","","","",14,54.271,44.331," 1",12.306,5,4,3,2,1,0,0,0
"56",6654,"665460","MO","CB2",60,"M",0,"999","B","999"," 999"," 999"," 999",0,36.788,0," 999",999,0,0,0,0,0,0,0,0
"57",6654,"665460","MO","CB3",60,"M",0,"999","B","999"," 999"," 999"," 999",0,36.788,0," 999",999,0,0,0,0,0,0,0,0
"58",6654,"665460","MO","CB4",60,"M",0,"999","B","999"," 999"," 999"," 999",0,36.788,0," 999",999,0,0,0,0,0,0,0,0
"59",6654,"665460","MO","CB5",60,"M",0,"999","B","999"," 999"," 999"," 999",0,36.788,0," 999",999,0,0,0,0,0,0,0,0
"60",6660,"666060","MO","C3",60,"M",0,"W","R","c","","","",15,31.899,27.56," 1",10.184,3,1,0,0,0,0,0,0
"61",6660,"666060","MO","C4",60,"M",0,"W","R","c","","","",6,24.382,34.751," 1",13.071,4,2,1,0,0,1,0,0
"62",6660,"666060","MO","C5",60,"M",0,"W","R","c","","","",9,64.181,35.247," 1",16.099,5,4,3,2,1,0,0,0
"63",6660,"666060","MO","CB2",60,"M",0,"999","B","999"," 999"," 999"," 999",24,43.18,0," 999",999,0,0,0,0,0,0,0,0
"64",6660,"666060","MO","CB3",60,"M",0,"999","B","999"," 999"," 999"," 999",24,43.18,0," 999",999,2,0,0,0,0,0,0,0
"65",6660,"666060","MO","CB4",60,"M",0,"999","B","999"," 999"," 999"," 999",24,43.18,0," 999",999,2,0,0,0,0,0,0,0
"66",6660,"666060","MO","CB5",60,"M",0,"999","B","999"," 999"," 999"," 999",24,43.18,0," 999",999,3,0,0,0,0,0,0,0
"67",6826,"682660","MO","C3",60,"M",0,"W","R","c","","","",3,27.204,27.434," 1",24.664,3,2,1,0,0,1,0,0
"68",6826,"682660","MO","C4",60,"M",0,"W","R","c","","","",9,36.256,31.556," 1",10.811,4,3,2,1,0,1,0,0
"69",6826,"682660","MO","C5",60,"M",0,"W","R","c","","","",12,34.098,40.206," 1",14.417,5,4,3,2,1,1,0,0
"70",6826,"682660","MO","CB2",60,"M",0,"999","B","999"," 999"," 999"," 999",0,60.894,0," 999",999,0,0,0,0,0,0,0,0
"71",6826,"682660","MO","CB3",60,"M",0,"999","B","999"," 999"," 999"," 999",0,60.894,0," 999",999,0,0,0,0,0,0,0,0
"72",6826,"682660","MO","CB4",60,"M",0,"999","B","999"," 999"," 999"," 999",0,60.894,0," 999",999,0,0,0,0,0,0,0,0
"73",6826,"682660","MO","CB5",60,"M",0,"999","B","999"," 999"," 999"," 999",0,60.894,0," 999",999,0,0,0,0,0,0,0,0
"74",6883,"688360","MO","C3",60,"F",0,"B","R","c","","","",7,32.157,33.634," 1",15.532,3,1,0,0,0,0,0,0
"75",6883,"688360","MO","C4",60,"F",0,"B","R","c","","","",8,22.623,43.68," 1",6.723,4,1,0,0,0,1,0,0
"76",6883,"688360","MO","C5",60,"F",0,"B","R","c","","","",14,34.006,51.027," 1",14.148,5,0,0,0,0,1,0,0
"77",6883,"688360","MO","CB2",60,"F",0,"999","O","999"," 999"," 999"," 999",6,38.59,0," 999",999,0,0,0,0,0,0,0,0
"78",6883,"688360","MO","CB3",60,"F",0,"999","O","999"," 999"," 999"," 999",6,38.59,0," 999",999,0,0,0,0,0,0,0,0
"79",6883,"688360","MO","CB4",60,"F",0,"999","O","999"," 999"," 999"," 999",6,38.59,0," 999",999,0,0,0,0,0,0,0,0
"80",6883,"688360","MO","CB5",60,"F",0,"999","O","999"," 999"," 999"," 999",6,38.59,0," 999",999,0,0,0,0,0,0,0,0
"81",6921,"692160","MO","C3",60,"M",0,"O","B","c","","","",5,28.728,23.124," Y",26.435,3,0,0,0,0,1,0,0
"82",6921,"692160","MO","C4",60,"M",0,"O","B","c","","","",4,32.305,29.698," 1",28.525,4,1,0,0,0,1,0,0
"83",6921,"692160","MO","C5",60,"M",0,"O","B","c","","","",5,17.271,32.673," 1",15.394,5,0,0,0,0,1,1,0
"84",6921,"692160","MO","CB2",60,"M",0,"999","R","999"," 999"," 999"," 999",0,30.226,0," 999",999,0,0,0,0,0,0,0,0
"85",6921,"692160","MO","CB3",60,"M",0,"999","R","999"," 999"," 999"," 999",0,30.226,0," 999",999,0,0,0,0,0,0,0,0
"86",6921,"692160","MO","CB4",60,"M",0,"999","R","999"," 999"," 999"," 999",0,30.226,0," 999",999,0,0,0,0,0,0,0,0
"87",6921,"692160","MO","CB5",60,"M",0,"999","R","999"," 999"," 999"," 999",0,30.226,0," 999",999,0,0,0,0,0,0,0,0
"88",6937,"693760","MO","C3",60,"F",0,"O","B","c"," 999"," 999"," 999",13,40.051,24.986," 1",13.147,3,1,0,0,0,0,0,0
"89",6937,"693760","MO","C4",60,"F",0,"O","B","c","","","",15,50.837,36.145," 1",15.923,4,1,0,0,0,0,0,0
