codenumber,task_not_performed,drop,reason,CB,C2,C3,C4,C5,CB_reason,C2_reason,C3_reason,C4_reason,C5_reason,comments
8009,0,1,pilot,0,999,0,1,0,0,0,0,expt_error,0,"Not our usual poses with Robot. This was our first pilot with Robots; spreadsheet says N/A for baseline, training, 4-step, and 5-step"
8099,0,1,pilot,0,999,0,1,0,0,0,0,expt_error,0,"Not our usual robot sequences; spreadsheet says N/A for baseline, training, 2-step, and 5-step"
7429,0,0,,0,999,0,1,0,0,0,0,expt_error,0,4-step is not our usual 4-step (i.e. not MJ4); N/A for training and 2-step
7643,0,0,,0,999,0,1,0,0,0,0,expt_error,0,4-step is not our usual 4-step (i.e. not MJ4); N/A for training and 2-step
7644,0,0,,0,999,0,999,999,0,0,0,0,0,"Robots: 2 min baseline; N/A for training, 2-step, and 5-step"
7740,0,0,,0,999,0,1,1,0,0,0,0,0,"UNSURE: N/A written for training, 2-step, 4-step, and 5-step"
7768,0,0,,0,0,0,0,0,0,0,0,0,0,0
8352,0,0,,0,0,0,0,0,0,0,0,0,0,0
7672,0,0,,0,0,0,0,0,0,0,0,0,0,0
8378,0,0,,0,0,0,0,0,0,0,0,0,0,0
8349,0,1,video problems,0,0,0,0,1,0,0,0,0,child_error,Didn't really make it through any of the tasks
8000,0,0,,0,0,0,1,999,0,0,0,child_error,0,Did not want to do test for 4 step; N/A for 5-step
7690,0,0,,0,0,0,0,0,0,0,0,0,0,0
7728,0,0,,0,0,0,0,0,0,0,0,0,0,0
7630,0,0,,0,0,0,0,0,0,0,0,0,0,0
7760,0,0,,0,0,0,0,0,0,0,0,0,0,0
7649,0,0,,0,0,0,0,0,0,0,0,0,0,0
7737,0,0,,0,0,0,0,0,0,0,0,0,0,0
8389,0,0,,0,0,0,0,0,0,0,0,0,0,0
123,0,1,,0,999,0,999,0,0,0,0,0,0,"N/A for training, 2-step , 3-step, 4-step, and 5-step"
124,0,1,,0,999,0,1,0,0,0,0,expt_error,0,"Not our usual 4-step pose; N/A for baseline, training, 2-step, and 5-step; "
125,0,1,,0,999,0,0,0,0,0,0,0,0,"N/A for Training, 2-step, 3-step, 4-step, and 5-step"
126,0,1,,0,999,0,1,0,0,0,0,expt_error,0,"Not our usual 4-step pose; N/A for Baseline, Training, 2-step, and 5-step"
127,0,1,,0,999,0,1,0,0,0,0,expt_error,0,"Not our usual 4-step pose; N/A for Baseline, Training, 2-step, and 5-step"
133,0,1,,0,0,0,1,0,0,0,0,0,0,N/A for baseline
134,0,1,,0,999,0,0,0,0,0,0,0,0,N/A for baseline 
135,0,1,,0,0,0,0,0,0,0,0,0,0,0
137,0,1,,0,0,0,0,0,0,0,0,0,0,0
138,0,1,,0,0,0,0,0,0,0,0,0,0,0
139,0,1,,0,0,0,0,0,0,0,0,0,0,0
128,1,1,,0,999,0,999,0,0,0,0,0,0,"N/A for baseline, training, 2-step, 3-step, 4-step, and 5-step"
8334,1,0,,0,999,0,999,0,0,0,0,0,0,"N/A  for baseline, training, 2-step, 3-step, 4-step, and 5-step"
8107,0,1,refused to play,1,0,0,0,0,child_error,0,0,0,0,Did not want to play with robots.
7797,0,0,,0,0,0,0,0,0,0,0,0,0,0
7818,0,0,,0,0,0,0,0,0,0,0,0,0,0
8036,,,,,,,,,0,0,0,0,0,0
7980,0,1,pilot,0,0,0,0,0,0,0,0,0,0,0
8199,0,0,refused to play,0,0,1,1,,0,0,child_error,child_error,0,"Robots: child uninterested in task, could not complete all poses or MC; N/A for 5-step; did not complete all poses or MC"
8222,0,0,,0,0,0,0,0,0,0,0,0,0,0
8050,1,0,,0,0,0,0,0,0,0,0,0,0,0
8433,0,0,,0,0,0,0,0,0,0,0,0,0,0
8219,0,0,,0,0,0,0,0,0,0,0,0,0,0
8421,0,0,,0,0,0,0,0,0,0,0,0,0,0
8489,0,0,,0,0,0,0,0,0,0,0,0,0,0
8422,0,0,,0,0,0,0,0,0,0,0,0,0,0
8356,1,0,,0,0,0,0,0,0,0,0,0,0,0
8092,0,0,,0,0,0,0,0,0,0,0,0,0,0
8435,1,0,,0,0,0,0,0,0,0,0,0,0,0
8093,0,0,,0,0,0,0,0,0,0,0,0,0,0
8217,0,0,,0,0,0,0,0,0,0,0,0,0,0
8390,0,1,video problems,0,0,0,0,0,0,0,0,0,0,0
8488,0,0,,0,0,0,0,0,0,0,0,0,0,0
